Label:, CH1: Time
DateTime:, Sun Jan 12 00:01:02 2003
DataKind:, CH1, Time, Real
DataPoints:, 16384
DataCalc:
Frequency:, 0.000 , 500.000, Hz
Sample:, 16384, Internal
Average:, 0, Power/Sum
Voltage(CH1):, 0.000 , dBVrms
EU/V(CH1):, 1.000E+00
Window(CH1):, Hann
X-AxisScale:, Lin
X-AxisUnit:, s
Y-AxisScale:, Lin
Y-AxisUnit:, V
Y-AxisMagniude:
6.71875000E-02, 6.50641960E-06
6.79687500E-02, -1.28179099E-05
6.87500000E-02, -4.55712780E-06
6.95312500E-02, 1.59973624E-05
7.03125000E-02, 2.02410229E-05
7.10937500E-02, 1.78808004E-05
7.18750000E-02, 1.90345709E-05
7.26562500E-02, 1.79835333E-05
7.34375000E-02, 1.23358559E-05
7.42187500E-02, 2.60520210E-06
7.50000000E-02, 6.61178683E-06
7.57812500E-02, 5.74408841E-05
7.65625000E-02, 3.95679890E-05
7.73437500E-02, 1.94349650E-05
7.81250000E-02, 3.39492872E-05
7.89062500E-02, -3.58274556E-05
7.96875000E-02, -3.91228132E-05
8.04687500E-02, -3.26137560E-05
8.12500000E-02, -7.29772655E-05
8.20312500E-02, -6.43160893E-05
8.28125000E-02, -6.83147737E-05
8.35937500E-02, -7.09120723E-05
8.43750000E-02, -7.79400580E-05
8.51562500E-02, -9.06789428E-05
8.59375000E-02, -6.19110870E-05
8.67187500E-02, -1.15350658E-05
8.75000000E-02, -2.62759258E-05
8.82812500E-02, -4.41567245E-05
8.90625000E-02, -2.26750035E-05
8.98437500E-02, -1.80414845E-05
9.06250000E-02, 1.66163954E-05
9.14062500E-02, 6.11129281E-06
9.21875000E-02, 9.69377470E-06
9.29687500E-02, 4.04820457E-05
9.37500000E-02, 3.86591964E-05
9.45312500E-02, 5.74803962E-05
9.53125000E-02, 4.64089462E-05
9.60937500E-02, 6.51774681E-05
9.68750000E-02, 7.28956074E-05
9.76562500E-02, 4.81764800E-05
9.84375000E-02, 6.24747991E-05
9.92187500E-02, 6.28989001E-05
1.00000000E-01, 5.03365081E-05
1.00781250E-01, 3.02377284E-05
1.01562500E-01, 2.24800751E-05
1.02343750E-01, 8.82713084E-06
1.03125000E-01, 4.82581390E-06
1.03906250E-01, 4.12248846E-06
1.04687500E-01, -1.65189304E-05
1.05468750E-01, -1.39664116E-05
1.06250000E-01, -2.68580789E-05
1.07031250E-01, -3.41099694E-05
1.07812500E-01, -4.31452027E-05
1.08593750E-01, -4.80605777E-05
1.09375000E-01, -3.89515917E-05
1.10156250E-01, -5.06394390E-05
1.10937500E-01, -6.17187907E-05
1.11718750E-01, -5.92716387E-05
1.12500000E-01, -3.57958452E-05
1.13281250E-01, -1.03733928E-05
1.14062500E-01, -7.94731477E-06
1.14843750E-01, -1.57787254E-05
1.15625000E-01, -2.22061203E-06
1.16406250E-01, 1.21514631E-05
1.17187500E-01, 1.64557096E-05
1.17968750E-01, 3.28244932E-05
1.18750000E-01, 5.85024573E-05
1.19531250E-01, 5.87052891E-05
1.20312500E-01, 5.00414790E-05
1.21093750E-01, 5.79729895E-05
1.21875000E-01, 5.62713103E-05
1.22656250E-01, 5.93269579E-05
1.23437500E-01, 4.78551119E-05
1.24218750E-01, 2.88284446E-05
1.25000000E-01, 3.59012120E-05
1.25781250E-01, 2.46137588E-05
1.26562500E-01, 1.06842263E-05
1.27343750E-01, 2.88758583E-05
1.28125000E-01, -9.54099232E-06
1.28906250E-01, -4.78577458E-05
