Label:, CH1: Time
DateTime:, Sun Jan 12 00:32:20 2003
DataKind:, CH1, Time, Real
DataPoints:, 16384
DataCalc:
Frequency:, 0.000 , 500.000, Hz
Sample:, 16384, Internal
Average:, 0, Power/Sum
Voltage(CH1):, 0.000 , dBVrms
EU/V(CH1):, 1.000E+00
Window(CH1):, Hann
X-AxisScale:, Lin
X-AxisUnit:, s
Y-AxisScale:, Lin
Y-AxisUnit:, V
Y-AxisMagniude:
2.32812500E-01, 3.51470459E-04
2.33593750E-01, 3.38742131E-04
2.34375000E-01, 3.15295300E-04
2.35156250E-01, 3.26221867E-04
2.35937500E-01, 2.82378605E-04
2.36718750E-01, 2.38782959E-04
2.37500000E-01, 2.21357885E-04
2.38281250E-01, 2.25730619E-04
2.39062500E-01, 2.11411229E-04
2.39843750E-01, 2.06817218E-04
2.40625000E-01, 2.47138581E-04
2.41406250E-01, 2.32692750E-04
2.42187500E-01, 2.16381915E-04
2.42968750E-01, 2.16987784E-04
2.43750000E-01, 2.32676946E-04
2.44531250E-01, 2.69173470E-04
2.45312500E-01, 3.16604477E-04
2.46093750E-01, 3.58224497E-04
2.46875000E-01, 3.66377266E-04
2.47656250E-01, 4.18602489E-04
2.48437500E-01, 4.85307770E-04
2.49218750E-01, 5.20871836E-04
2.50000000E-01, 5.59557346E-04
2.50781250E-01, 6.65301166E-04
2.51562500E-01, 7.15434842E-04
2.52343750E-01, 6.71920832E-04
2.53125000E-01, 7.04985054E-04
2.53906250E-01, 7.36563583E-04
2.54687500E-01, 7.41102267E-04
2.55468750E-01, 7.47969549E-04
2.56250000E-01, 7.45048281E-04
2.57031250E-01, 7.18661700E-04
2.57812500E-01, 6.46738103E-04
2.58593750E-01, 6.34950178E-04
2.59375000E-01, 6.31312374E-04
2.60156250E-01, 5.92668948E-04
2.60937500E-01, 5.46078256E-04
2.61718750E-01, 4.84206685E-04
2.62500000E-01, 4.56655835E-04
2.63281250E-01, 3.66103312E-04
2.64062500E-01, 3.22333828E-04
2.64843750E-01, 3.27910384E-04
