Label:, CH2: Power Spectrum
DateTime:, Wed Jan  1 00:35:51 2003
DataKind:, CH2, PowerSpec, Mag
DataPoints:, 802
DataCalc:
Frequency:, 0.000 , 640.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH2):, 10.000, dBVrms
EU/V(CH2):, 1.000E+00
Window(CH2):, Hann
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, V
Y-AxisMagniude:, rms
3.51200000E+02, -1.04898592E+02
3.52000000E+02, -9.88530185E+01
3.52800000E+02, -9.14968673E+01
3.53600000E+02, -8.98314200E+01
3.54400000E+02, -8.91213484E+01
3.55200000E+02, -9.21562040E+01
3.56000000E+02, -1.02601621E+02
3.56800000E+02, -1.10816738E+02
3.57600000E+02, -1.03868205E+02
3.58400000E+02, -1.04017897E+02
3.59200000E+02, -1.03185332E+02
3.60000000E+02, -9.88911617E+01
3.60800000E+02, -1.03135551E+02
3.61600000E+02, -9.35202813E+01
3.62400000E+02, -9.44077044E+01
3.63200000E+02, -9.71949615E+01
3.64000000E+02, -9.45208546E+01
3.64800000E+02, -1.04956182E+02
3.65600000E+02, -1.01167749E+02
3.66400000E+02, -1.06116759E+02
3.67200000E+02, -1.03701294E+02
3.68000000E+02, -1.05060016E+02
3.68800000E+02, -1.06384406E+02
3.69600000E+02, -9.73992173E+01
3.70400000E+02, -9.69904745E+01
3.71200000E+02, -1.04705045E+02
3.72000000E+02, -9.73555517E+01
3.72800000E+02, -1.00164884E+02
3.73600000E+02, -1.10612783E+02
3.74400000E+02, -9.96006256E+01
3.75200000E+02, -9.62740300E+01
3.76000000E+02, -9.45525731E+01
3.76800000E+02, -9.74099200E+01
3.77600000E+02, -1.13402020E+02
3.78400000E+02, -1.00966785E+02
3.79200000E+02, -9.68898035E+01
3.80000000E+02, -9.52698541E+01
3.80800000E+02, -9.26056995E+01
3.81600000E+02, -9.89373391E+01
3.82400000E+02, -1.03571847E+02
3.83200000E+02, -1.02385996E+02
3.84000000E+02, -1.00509401E+02
3.84800000E+02, -1.02482057E+02
3.85600000E+02, -9.91468937E+01
3.86400000E+02, -1.02079750E+02
3.87200000E+02, -9.92677131E+01
3.88000000E+02, -9.60036691E+01
3.88800000E+02, -1.11084245E+02
3.89600000E+02, -1.02124822E+02
3.90400000E+02, -1.12200615E+02
3.91200000E+02, -1.06330319E+02
3.92000000E+02, -1.22969649E+02
3.92800000E+02, -9.82687395E+01
3.93600000E+02, -9.31213969E+01
3.94400000E+02, -1.02425715E+02
3.95200000E+02, -9.84924529E+01
3.96000000E+02, -1.01384541E+02
3.96800000E+02, -1.03018597E+02
3.97600000E+02, -9.89370098E+01
3.98400000E+02, -1.02075006E+02
3.99200000E+02, -1.02963700E+02
4.00000000E+02, -1.04489458E+02
