Label:, CH2: Time
DateTime:, Wed Jan  1 00:41:33 2003
DataKind:, CH2, Time, Real
DataPoints:, 2048
DataCalc:
Frequency:, 0.000 , 2000.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH2):, 10.000, dBVrms
EU/V(CH2):, 1.000E+00
Window(CH2):, Hann
X-AxisScale:, Lin
X-AxisUnit:, s
Y-AxisScale:, Lin
Y-AxisUnit:, V
Y-AxisMagniude:
5.58593750E-02, 6.46910369E-01
5.60546875E-02, 5.88393748E-01
5.62500000E-02, 5.51440358E-01
5.64453125E-02, 5.53809464E-01
5.66406250E-02, 4.73876715E-01
5.68359375E-02, 4.75625008E-01
5.70312500E-02, 4.42007452E-01
5.72265625E-02, 3.75601947E-01
5.74218750E-02, 3.90339792E-01
5.76171875E-02, 3.19561273E-01
5.78125000E-02, 2.92567432E-01
5.80078125E-02, 2.87287563E-01
5.82031250E-02, 2.05478474E-01
5.83984375E-02, 2.12667197E-01
5.85937500E-02, 1.67944506E-01
5.87890625E-02, 1.08798333E-01
5.89843750E-02, 1.21275589E-01
5.91796875E-02, 4.41813655E-02
5.93750000E-02, 2.63517629E-02
5.95703125E-02, 1.12151233E-02
5.97656250E-02, -6.78755119E-02
5.99609375E-02, -5.37827350E-02
6.01562500E-02, -1.09532371E-01
6.03515625E-02, -1.58344015E-01
6.05468750E-02, -1.51263446E-01
6.07421875E-02, -2.31579572E-01
6.09375000E-02, -2.32118785E-01
6.11328125E-02, -2.58184969E-01
6.13281250E-02, -3.33320379E-01
6.15234375E-02, -3.19429427E-01
6.17187500E-02, -3.83811116E-01
6.19140625E-02, -4.14977878E-01
6.21093750E-02, -4.12762493E-01
6.23046875E-02, -4.95861918E-01
6.25000000E-02, -4.94292229E-01
6.26953125E-02, -5.29865205E-01
6.28906250E-02, -5.92469275E-01
6.30859375E-02, -5.77589154E-01
6.32812500E-02, -6.48641825E-01
6.34765625E-02, -6.72857642E-01
6.36718750E-02, -6.78579211E-01
6.38671875E-02, -7.57357299E-01
6.40625000E-02, -7.47745931E-01
6.42578125E-02, -7.93304801E-01
6.44531250E-02, -8.47112358E-01
6.46484375E-02, -8.33308816E-01
6.48437500E-02, -9.08421934E-01
6.50390625E-02, -9.21451569E-01
6.52343750E-02, -9.35602546E-01
6.54296875E-02, -1.00856006E+00
6.56250000E-02, -9.94636953E-01
6.58203125E-02, -1.04779768E+00
6.60156250E-02, -1.08885837E+00
6.62109375E-02, -1.07974136E+00
6.64062500E-02, -1.15376437E+00
6.66015625E-02, -1.15651155E+00
6.67968750E-02, -1.17957604E+00
6.69921875E-02, -1.24209452E+00
6.71875000E-02, -1.22617900E+00
6.73828125E-02, -1.28342652E+00
6.75781250E-02, -1.31177092E+00
6.77734375E-02, -1.30914724E+00
6.79687500E-02, -1.37784874E+00
6.81640625E-02, -1.37296093E+00
6.83593750E-02, -1.40350735E+00
6.85546875E-02, -1.45536184E+00
6.87500000E-02, -1.44094563E+00
6.89453125E-02, -1.49857199E+00
6.91406250E-02, -1.51640773E+00
6.93359375E-02, -1.52127111E+00
6.95312500E-02, -1.58313358E+00
6.97265625E-02, -1.57337332E+00
6.99218750E-02, -1.60920238E+00
7.01171875E-02, -1.64889395E+00
7.03125000E-02, -1.63837314E+00
7.05078125E-02, -1.69472873E+00
7.07031250E-02, -1.69979310E+00
7.08984375E-02, -1.71197832E+00
7.10937500E-02, -1.76505291E+00
7.12890625E-02, -1.75236058E+00
7.14843750E-02, -1.79236591E+00
7.16796875E-02, -1.81884706E+00
7.18750000E-02, -1.81344521E+00
7.20703125E-02, -1.86485827E+00
7.22656250E-02, -1.86177099E+00
7.24609375E-02, -1.88024545E+00
7.26562500E-02, -1.92190540E+00
7.28515625E-02, -1.90982914E+00
7.30468750E-02, -1.94945276E+00
7.32421875E-02, -1.96447718E+00
7.34375000E-02, -1.96416318E+00
7.36328125E-02, -2.00868917E+00
7.38281250E-02, -2.00201082E+00
7.40234375E-02, -2.02334023E+00
7.42187500E-02, -2.05323148E+00
7.44140625E-02, -2.04413700E+00
